20:47:39.885324 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 3913514639:3913516099, ack 181554222, win 65392, length 1460
20:47:39.885421 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 1460:2920, ack 1, win 65392, length 1460
20:47:39.889416 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 2920:4380, ack 1, win 65392, length 1460
20:47:39.889477 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 4380:5840, ack 1, win 65392, length 1460
20:47:39.890128 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 5840:7300, ack 1, win 65392, length 1460
20:47:39.890187 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 7300:8760, ack 1, win 65392, length 1460
20:47:39.891228 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 8760:10220, ack 1, win 65392, length 1460
20:47:39.891281 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 10220:11680, ack 1, win 65392, length 1460
20:47:39.891826 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 11680:13140, ack 1, win 65392, length 1460
20:47:39.891877 IP 192.168.1.28.5900 > 192.168.1.25.55531: Flags [.], seq 13140:14600, ack 1, win 65392, length 1460
